UEIndex,RNTI,DL_Throughput_Mbps,UL_Throughput_Mbps,DL_BLER,UL_BLER,DL_MeanMeasuredSINR_dB,UL_MeanMeasuredSINR_dB,UserThroughput_Mbps,HARQFailureRate
1,1,2.26133333333333,0,0,1,12.9662635446754,19.9845339148978,2.26133333333333,0.5
2,2,1.34933333333333,0,0.666666666666667,1,24.50258461201,15.8030237880401,1.34933333333333,0.833333333333333
3,3,1.34933333333333,1.48,0.666666666666667,0.5,38.1289112214741,44.4742663964249,2.82933333333333,0.583333333333333
4,4,3.68,1.672,0,0.5,31.6184975679205,23.2323154760584,5.352,0.25
5,5,3.03466666666667,25.552,0,0,15.9285846755823,48.316464680563,28.5866666666667,0
6,6,1.84,1.672,0.333333333333333,0.5,10.6100474039736,24.8423974638534,3.512,0.416666666666667
7,7,2.69866666666667,0,0.333333333333333,1,8.82291651716007,30.426082150653,2.69866666666667,0.666666666666667
8,8,2.34666666666667,0,0,1,-2.1231457472807,12.9677613872869,2.34666666666667,0.5
9,9,1.68533333333333,0,0.333333333333333,1,-1.65570753247005,25.2800171111257,1.68533333333333,0.666666666666667
10,10,1.648,28.816,0.666666666666667,0,29.4892906969435,30.0638545800603,30.464,0.333333333333333
11,11,2.05866666666667,0,0.333333333333333,1,-7.28272258928752,24.4662069902494,2.05866666666667,0.666666666666667
12,12,3.03466666666667,1.48,0,0.5,41.7733304856739,34.9326782986199,4.51466666666667,0.25
13,13,3.03466666666667,1.48,0,0.5,22.9462761440454,23.1442462538517,4.51466666666667,0.25
14,14,8.45866666666667,25.552,0,0,15.9734795076231,37.7624402350044,34.0106666666667,0
15,15,2.69866666666667,0,0.333333333333333,1,25.3666298285218,22.239254034462,2.69866666666667,0.666666666666667
16,16,3.03466666666667,0,0,1,11.8208673966871,14.7706288992556,3.03466666666667,0.5
17,17,2.05866666666667,0,0.333333333333333,1,3.40305250078749,20.6563402084653,2.05866666666667,0.666666666666667
18,18,2.42133333333333,25.552,0.333333333333333,0,24.5308769759572,31.7485578247271,27.9733333333333,0.166666666666667
19,19,5.51466666666667,25.552,0,0,17.7522549796688,33.4547520883196,31.0666666666667,0
20,20,3.24266666666667,0,0,1,4.40615701524061,17.2322693374571,3.24266666666667,0.5
21,21,1.232,0,0.333333333333333,1,24.1450745199817,21.380896424237,1.232,0.666666666666667
22,22,1.47733333333333,22.76,0.666666666666667,0,42.6564654678968,63.3977214107539,24.2373333333333,0.333333333333333
23,23,2.69866666666667,1.48,0.333333333333333,0.5,34.1466826398349,30.7555249544054,4.17866666666667,0.416666666666667
24,24,3.03466666666667,0,0,1,17.2097488084456,20.9218493452693,3.03466666666667,0.5
25,25,2.05866666666667,18.488,0.333333333333333,0,21.1001311759341,31.0839279564671,20.5466666666667,0.166666666666667
26,26,15.6853333333333,1.48,0.333333333333333,0.5,30.6517203781401,26.6627326167542,17.1653333333333,0.416666666666667
27,27,3.21066666666667,1.064,0,0.5,10.0808816336069,26.3483153930925,4.27466666666667,0.25
28,28,2.26133333333333,18.488,0,0,18.8737381658768,32.8063812275528,20.7493333333333,0
29,29,3.296,28.816,0.333333333333333,0,24.9077670803057,47.7785920500247,32.112,0.166666666666667
30,30,1.02933333333333,18.488,0.666666666666667,0,27.6209620960854,42.8242092014055,19.5173333333333,0.333333333333333
31,31,1.12533333333333,18.488,0.333333333333333,0,19.8905360424242,46.5243606014513,19.6133333333333,0.166666666666667
32,32,3.24266666666667,0,0,1,23.4365969221628,55.1724161512755,3.24266666666667,0.5
33,33,3.03466666666667,0,0,1,2.5833404274729,15.5000684142078,3.03466666666667,0.5
34,34,1.34933333333333,0,0.666666666666667,1,26.3602548144675,31.0469185676454,1.34933333333333,0.833333333333333
35,35,3.296,19.096,0.333333333333333,0,20.3439270430975,17.9675235353666,22.392,0.166666666666667
36,36,2.26133333333333,1.064,0,0.5,33.0626141669153,27.005436557821,3.32533333333333,0.25
37,37,2.95466666666667,1.256,0.333333333333333,0.5,20.3658497438702,26.0313034949453,4.21066666666667,0.416666666666667
38,38,18.4693333333333,22.76,0,0,31.526508788821,47.7155732750468,41.2293333333333,0
39,39,2.05866666666667,1.064,0.333333333333333,0.5,28.5867033004417,19.5587669990546,3.12266666666667,0.416666666666667
40,40,3.29066666666667,25.552,0,0,23.0165820093744,47.0530573746596,28.8426666666667,0
41,41,3.296,1.672,0.333333333333333,0.5,17.5615840096601,25.7093964188226,4.968,0.416666666666667
42,42,1.47733333333333,1.256,0.666666666666667,0.5,10.6838262506704,22.016446529096,2.73333333333333,0.583333333333333
43,43,2.69866666666667,1.48,0.333333333333333,0.5,28.9269430776832,31.6760829084269,4.17866666666667,0.416666666666667
44,44,2.95466666666667,22.76,0.333333333333333,0,30.1456486734957,48.9260196663964,25.7146666666667,0.166666666666667
45,45,3.68,1.672,0,0.5,9.91145899403505,23.9078298950812,5.352,0.25
46,46,2.22933333333333,0,0.333333333333333,1,24.4575422947742,0,2.22933333333333,0.666666666666667
47,47,2.69866666666667,25.552,0.333333333333333,0,38.4259822768757,34.3328717655264,28.2506666666667,0.166666666666667
48,48,1.02933333333333,0,0.666666666666667,1,-1.87221605386166,0,1.02933333333333,0.833333333333333
49,49,1.47733333333333,22.76,0.666666666666667,0,21.4806485295062,48.1095286265578,24.2373333333333,0.333333333333333
50,50,4.336,28.816,0.333333333333333,0,28.7577345039363,38.9595235856328,33.152,0.166666666666667
